CRH2-122B
M0 51.94,898.0,531.9,736.3,83.06,150.4,567.6,72.19,338.5,27.28,9.18,18.75
M1 28.22,612.3,108.1,80.82,63.92,55.3,113.3,858.3,730.5,15.54,92.45,28.03
M2 582.9,35.83,700.5,16.3,86.71,96.28,166.9,43.43,2.55,31.44,300.3,118.2
M3 15.25,5.2,63.19,643.7,296.2,52.45,88.75,215.3,114.5,892.5,901.4,200.4
M4 237.0,29.45,608.3,66.54,258.3,632.5,450.2,989.7,2.11,209.4,71.67,51.7
M5 734.9,471.4,18.05,98.61,519.3,846.9,88.42,17.73,16.16,242.5,90.4,80.97
M6 235.4,680.5,21.55,22.81,238.7,89.93,32.3,830.3,7.89,473.3,552.0,503.0
M7 58.4,15.78,769.5,55.79,494.9,713.2,89.56,788.7,24.83,424.2,787.1,308.4
M8 72.08,889.7,33.8,764.2,34.6,43.43,565.4,38.18,189.8,664.3,69.96,4.01
M9 48.5,27.93,270.7,24.2,34.91,23.4,84.66,413.3,230.1,745.3,7.37,435.7
M10 414.7,43.94,872.9,69.81,87.53,14.03,54.88,239.9,830.6,418.4,874.6,74.85
M11 31.97,3.63,86.49,27.5,451.9,85.53,261.8,53.46,443.2,601.4,72.21,57.21
M12 722.6,126.8,318.2,38.59,711.6,448.0,242.4,833.6,366.9,896.4,537.6,765.5
M13 209.8,171.9,271.9,87.45,36.28,955.8,817.8,188.3,6.15,10.1,80.08,482.7
M14 21.9,36.65,845.6,145.8,880.0,291.1,45.74,18.72,82.34,20.1,25.36,151.7
M15 14.47,604.1,28.6,671.8,38.35,43.43,381.0,27.16,647.5,86.38,26.22,82.34

CRH2-122B
M0 22.8,78.76,721.7,748.4,404.3,69.52,255.3,651.9,488.4,573.6,389.7,58.96
M1 675.1,814.9,39.33,571.5,932.0,84.54,185.6,227.0,988.4,334.8,3.84,78.04
M2 46.35,39.86,9.53,613.4,31.31,163.3,82.95,72.83,66.3,428.5,303.2,369.8
M3 774.5,93.11,499.2,90.85,20.32,89.27,51.8,84.6,55.6,115.5,42.16,46.47
M4 94.4,87.94,930.0,20.72,883.7,29.07,98.8,349.8,342.7,53.31,422.0,91.11
M5 23.72,679.1,42.6,2.37,830.6,337.7,79.83,18.85,181.3,42.9,75.85,93.21
M6 64.72,80.87,68.19,389.7,462.8,29.55,789.3,249.6,577.5,893.6,871.2,31.09
M7 26.77,649.7,24.5,630.3,51.47,633.6,250.6,864.5,782.6,99.18,73.42,95.01
M8 61.9,88.52,87.35,704.4,45.57,39.46,32.4,28.17,9.13,15.4,54.63,671.8
M9 60.03,552.8,728.6,58.97,83.17,84.09,49.81,174.0,23.76,363.0,773.4,883.2
M10 50.12,451.0,967.5,859.2,321.4,21.25,75.6,815.9,75.84,566.8,78.73,20.0
M11 73.99,399.7,160.3,97.06,68.83,63.65,30.09,85.15,73.96,364.6,33.67,316.9
M12 69.43,87.71,19.11,893.4,665.6,65.33,395.7,58.02,372.5,84.47,54.2,323.0
M13 161.7,79.31,48.3,51.11,13.72,470.8,80.06,410.0,226.6,50.41,139.3,291.7
M14 61.85,61.78,215.1,777.2,770.0,922.2,70.54,569.4,10.02,45.17,25.74,320.8
M15 562.4,76.09,97.73,854.1,518.1,18.59,936.2,33.29,72.42,585.6,56.91,26.9

CRH2-124B
M0 78.84,99.35,83.85,439.6,14.83,62.81,691.6,892.6,485.6,14.19,645.4,218.3
M1 50.04,815.7,301.7,17.93,138.8,649.0,21.75,60.73,69.18,94.15,83.11,198.6
M2 667.0,1.09,8.18,471.0,969.2,151.6,951.5,679.8,72.26,804.5,401.0,93.38
M3 1.65,17.44,8.19,10.08,96.18,213.4,75.87,34.62,71.16,96.81,596.8,31.01
M4 51.25,77.84,341.3,99.65,435.1,71.27,940.3,418.9,158.6,924.4,350.3,930.9
M5 73.3,32.2,10.56,952.4,1.1,63.5,72.45,496.1,110.7,900.0,18.47,49.9
M6 68.36,325.5,506.4,466.1,45.75,82.04,946.6,34.48,244.5,215.8,434.3,86.91
M7 90.53,351.6,650.1,83.15,46.27,75.29,59.09,874.8,35.58,6.4,55.02,42.79
M8 118.4,88.54,192.3,357.7,21.81,38.7,801.8,75.04,396.9,238.8,84.78,998.3
M9 617.3,765.9,72.13,2.3,63.7,49.41,87.34,36.5,311.0,64.14,61.07,714.9
M10 950.5,94.8,49.14,39.0,45.61,25.29,602.1,34.19,486.1,5.61,996.8,296.3
M11 62.26,672.5,22.95,673.4,35.32,9.2,22.37,70.98,697.1,834.9,68.56,82.94
M12 47.88,644.1,89.35,28.49,57.11,86.88,969.1,0.9,91.48,23.98,676.5,59.13
M13 75.99,55.75,381.0,83.72,36.51,99.9,49.4,80.51,344.2,354.3,76.3,56.74
M14 954.2,266.5,28.01,195.5,88.14,62.9,62.82,63.06,50.39,78.52,12.34,169.3
M15 17.89,70.9,811.8,266.3,84.04,53.98,57.0,23.67,7.62,42.38,6.46,22.64

CRH2-122B
M0 89.92,989.9,142.5,51.17,62.81,97.98,329.8,78.77,64.81,74.27,841.9,60.97
M1 335.4,506.1,24.17,56.35,98.9,96.65,371.8,5.71,316.4,53.22,857.2,851.2
M2 92.52,94.9,42.76,57.43,564.0,172.4,39.32,504.9,45.75,623.6,360.4,847.0
M3 68.39,90.93,67.47,57.05,74.8,5.02,136.3,647.7,756.3,1.45,25.29,17.26
M4 26.14,257.4,663.6,42.24,218.3,532.0,397.9,39.08,849.8,89.01,31.66,70.35
M5 909.3,0.07,424.7,113.5,218.0,529.3,740.3,964.2,675.1,34.02,59.6,10.87
M6 461.2,71.02,26.68,777.3,175.1,577.8,80.22,798.1,80.79,8.82,526.2,390.0
M7 786.6,34.12,492.8,47.46,799.0,30.23,83.5,8.05,75.12,292.1,53.97,95.08
M8 0.3,336.5,18.35,90.8,958.3,928.5,51.46,876.3,267.2,430.8,936.3,71.98
M9 8.8,42.95,73.8,212.9,831.9,841.5,525.2,52.88,454.8,46.93,41.03,605.3
M10 731.6,0.32,268.2,624.9,35.96,176.1,69.6,636.4,348.6,89.09,61.66,33.0
M11 572.4,66.17,219.0,20.44,80.8,63.57,421.5,18.21,361.5,797.3,17.55,511.1
M12 41.16,69.27,5.1,89.66,30.19,161.7,31.98,398.4,901.0,112.9,18.97,7.59
